store_id,タイトル,star,コメント,pop_score,昼価格,link,紹介
17014747,金沢炉端あっぱれ 金沢駅前店,3.49,76.0,0.7185765452754561,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17014747/,金沢駅東口より徒歩3分◆金沢の魅力を凝縮した驚きと感動の空間をお届け【U-18制限あり※】
17012280,うなぎ四代目菊川 クロスゲート金沢店,3.5,131.0,0.7569740007812444,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17012280/,昭和七年創業。老舗鰻卸問屋が営む「うなぎ四代目菊川」で名物一本うなぎを。
17006721,炭火焼鶏Ryo 金沢駅前本店,3.25,49.0,0.6599781937066835,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17006721/,落ち着きある開放感あふれる店内でこだわりの焼き鳥とお酒をゆったりとお楽しみください。
17005289,旬魚季菜 とと桜,3.54,328.0,0.8248,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17005289/,のどぐろ 金沢おでんと石川の地酒 海鮮居酒屋
17012705,TILE,3.26,58.0,0.6726007464551076,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17012705/,金沢駅5分◆築110年の町屋を改装。約30種の新鮮な海鮮ネタから選べる「オリジナル海鮮丼」
17002118,博多もつ鍋龍 金澤尾張町,3.25,45.0,0.6542238266851996,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17002118/,【完全個室あり】美しい中庭を望む個室で、特製もつ鍋や焼酎を堪能。普段使いからご宴会まで◎
17014669,炉端とおでん 呼炉凪来 金沢駅前店,3.13,99.0,0.6934139614209315,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17014669/,"7月24日 NEW OPEN 東京新宿アクセスランキング※第1位""あの""呼炉凪来が金沢にOPEN"
17000368,和酒と和談 かこみ料理 醍庵,3.44,143.0,0.7557788668975726,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17000368/,金沢駅から徒歩２分。新鮮なお刺身盛合せをはじめ、醍庵風にアレンジされた料理を個室で堪能…
17015094,海鮮と金沢おでん 個室居酒屋まんま,3.04,2.0,0.44061789802029055,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17015094/,4月OPEN！市場直送の新鮮な海の幸や能登牛を上質なプライベート空間で味わう◎接待や宴会に
17014421,おすしと原始焼 金沢 なかむら,3.2,33.0,0.6273626907289186,8000.0,https://tabelog.com/ishikawa/A1701/A170101/17014421/,"【JR金沢駅 兼六園口より徒歩約7分】""鮨""×""原始焼""×""分子栄養学"""
17001125,割鮮 のむら,3.12,17.0,0.5738715637548291,8000.0,https://tabelog.com/ishikawa/A1701/A170101/17001125/,四季を感じる魚と和食料理、旨い日本酒を味わえる隠れ家。個室完備で大人数にも対応可能
17006946,はち丸 金沢駅前店,3.5,218.0,0.7919129078108217,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17006946/,【旬の味覚満載】築100年の趣ある明治をイメージした店内で、金沢の地物食材を食せるお店
17011432,肉＆おでん 金沢風土研究所,3.3,71.0,0.6911430991833247,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17011432/,金沢駅から徒歩5分！地元のお客様から観光のお客様まで気軽に立ち寄れるお店
17011504,わたる,3.15,21.0,0.591320335046706,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17011504/,大人数、貸切可能◎季節によって変わる限定メニューは必食。石川野菜を使用した一品をご堪能あれ
17013434,市場直送 海鮮酒場 サカナヤサケ,3.38,109.0,0.7299915480429239,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17013434/,北陸最大級の海鮮個室居酒屋！全席喫煙可能店！
17014753,肉のめぐみ,3.05,5.0,0.48965366573453845,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17014753/,能登牛などの高品質なお肉を落ち着きある空間で堪能◆美しい九谷焼の器も自慢。営業は朝8時まで
17014209,KAIFAN the Parlor,3.23,13.0,0.5697277456572457,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17014209/,自慢の手作り点心など多彩な中華料理が楽しめる！武家屋敷を改装したアートな空間で寛ぐひととき
17000213,紙屋市べゑ,3.29,81.0,0.6989183809241615,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17000213/,犀川ほとりの築124年、三階建て金澤町屋。 風情漂う大人の居酒屋。
17000539,吟の小判,3.3,57.0,0.6762210181574009,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17000539/,金沢駅1分■のどぐろ、治部煮、金沢おでんを地酒と満喫！落ち着いた和空間はサク飲み～宴会も◎
17015081,地酒と肴 魚頂点 片町店,3.05,5.0,0.48965366573453845,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17015081/,北陸三県の旨いをまるごと味わう、粋な海鮮居酒屋。地酒と肴「魚頂点 片町店」グランドオープン
17015249,花より魚,3.03,1.0,0.41143576771424784,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17015249/,高コスパ！宴会にもってこいの空間で、海鮮・串カツ・金沢おでんなど多彩な料理をコスパよく堪能
17012776,天ぷら専門 イチバン,3.31,39.0,0.6517785161389614,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17012776/,【金沢駅3分】本格天ぷらを気軽に楽しめる天ぷら専門店◆居酒屋メニューもご用意！
17012309,個室居酒屋 九十九 金沢店,3.08,57.0,0.6498210181574009,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17012309/,◆全席個室◆四季折々の“金沢郷土料理”を堪能│飲み放題付コース充実│インボイス対応
17008925,くいもの屋わん 金沢駅前店,3.03,23.0,0.5829252011630341,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17008925/,【金沢駅兼六園口すぐ】旬の食材と多彩な創作料理を堪能できる個室居酒屋｜宴会最大50名様迄
17014778,餃子のかっちゃん 金沢片町店,3.02,10.0,0.5278845673324581,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17014778/,【香林坊徒歩4】昭和レトロな大衆酒場でリーズナブルに乾杯！単品飲み放題有◎餃子200円～
17000240,梅の花 金沢店,3.07,58.0,0.6498007464551077,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17000240/,和の粋を感じる大小様々な個室《２名様用～》シルクのような出来立て湯葉をどうぞ
17001159,ここちもなか,3.51,85.0,0.7286053080761874,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17001159/,加賀野菜の美味しさ、伝えます！地元愛に溢れたオーナーの心意気◆美味い酒と共に堪能する♪
17007698,金澤じんや,3.24,24.0,0.6109424259924358,8000.0,https://tabelog.com/ishikawa/A1701/A170101/17007698/,のどぐろや治部煮など地元食材を活かしたお料理を北陸地酒と満喫！大人の空間でゆったりお食事を
17011310,大衆割烹 魚吟,3.56,328.0,0.8271999999999999,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17011310/,大衆の値、割烹の味 のどぐろと季節料理が自慢！金沢の大衆居酒屋
17014933,道楽ぼうず 金沢片町店,3.05,4.0,0.47707121299621785,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17014933/,2024年11月26日OPEN！金沢片町の隠れ家個室居酒屋
17011682,和食麺処 サガミ 金沢松村店,3.04,25.0,0.5896491425118219,1000.0,https://tabelog.com/ishikawa/A1701/A170101/17011682/,挽きたて・打ちたて・湯がきたてにこだわった『そば』は格別 ～ 和食麺処サガミ ～
17014876,焼肉ホルモン誠 金沢駅前店,3.08,10.0,0.5350845673324582,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17014876/,【金沢駅5分】金沢新名物「梅タン塩」や新鮮ホルモンに舌鼓♪仕事帰りのサク飲みや普段使いに◎
17011922,金澤 せつ理,3.76,44.0,0.713907009036799,20000.0,https://tabelog.com/ishikawa/A1701/A170101/17011922/,近江町市場徒歩5分◆伝統器と北陸の旬食材にこだわった、金沢の四季を感じる日本料理をご堪能◎
17004915,アプレバンコック,3.27,31.0,0.6315788385712392,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17004915/,エキゾチックな空間で堪能する、熟練シェフがつくりだす本格タイ王宮料理
17009015,居酒屋 丸奄,3.17,21.0,0.5937203350467061,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17009015/,【金沢駅から3分】地元の旬な海鮮や石焼と共に、豊富な地酒も楽しめる◎掘りごたつ個室も完備
17004296,旬彩和食 口福,3.47,327.0,0.8161899163526571,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17004296/,"近江町市場仕入れ！金沢自慢の『かに』を堪能！コース予約受付中！飲放付コース7,000円～"
17015151,一誠,3.03,5.0,0.48725366573453843,15000.0,https://tabelog.com/ishikawa/A1701/A170101/17015151/,季節を味わう、金沢の鮨とつまみ
17013619,めしや 魚界人 裏片町店,3.62,204.0,0.8017538262061314,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17013619/,圧巻の盛り付けと鮮度が自慢！北陸の創作和食｜金沢おでん、石川の地酒も楽しめる【R-20※】
17000103,味処 一合半 ぶん家,3.45,198.0,0.7793038014692321,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17000103/,◇金沢駅から車で10分◇金沢港より直送の海の幸を！「やっぱり金沢といえば旨い魚と地酒やね」
17013643,Allegro Kanazawa,3.55,46.0,0.6917080220570021,6000.0,https://tabelog.com/ishikawa/A1701/A170101/17013643/,東京発のイタリアンが片町に。北陸魚介の前菜や生パスタ＆塊肉の炭火焼き×骨太ワインを堪能‼️
17003383,ワイン（葡萄酒）街道,3.13,16.0,0.5711269230146707,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17003383/,深夜1:30まで営業◆ワイン初心者の方もお気軽に。豊富なワインと絶品炭火焼料理を満喫。
17010422,居酒屋はち丸 別館,3.17,56.0,0.6594207718203404,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17010422/,大正時代をイメージした趣ある店内ははち丸の中で一番広く、地物食材を堪能できるお店
17011442,COIL,3.43,186.0,0.772611490347129,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17011442/,オリジナル手巻き寿司が作れる金沢の体験型レストラン◆近江町市場 目の前◆女子会、デート、観光
17014237,全席完全個室居酒屋 和ノ音 金沢駅前店,3.35,71.0,0.6971430991833247,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17014237/,11月24日 NEW OPEN【金沢駅徒歩1分】個室多数完備！宴会コース4000円〜
17014392,金沢彩旬(アパホテル金沢駅前),3.06,12.0,0.544213374797574,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17014392/,こだわり天婦羅と地酒 金沢彩旬 －JAPANESE CUISINE－
17010848,博多もつ鍋 馬肉 九州自慢 金沢駅前店,3.08,23.0,0.5889252011630342,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17010848/,金沢駅徒歩5分！大小個室完備！宴会はおいしい料理とお酒が自慢の【九州自慢】で！！
17008235,ステーキ片瀬,3.34,32.0,0.6421024653527487,6000.0,https://tabelog.com/ishikawa/A1701/A170101/17008235/,金沢駅5分◆飛騨牛のステーキなど目の前で焼いて提供！五感を刺激する至福のひと時を満喫
17014455,焼鳥劇場 旅鶏 裏片町店,3.53,33.0,0.6669626907289186,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17014455/,【片町スクランブル徒歩30秒】幻の地鶏「天草大王」を中心に、全国の地鶏・銘柄鶏が味わえる！
17011811,焼肉ホルモン 芝生,3.26,36.0,0.640398201116433,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17011811/,【金沢駅3分】丁寧に焼き上げる極上のホルモンを、こだわりのタレと◎接待や記念日にもぴったり
17013984,restaurant ecoutieres,3.15,14.0,0.5648891110165085,20000.0,https://tabelog.com/ishikawa/A1701/A170101/17013984/,「1日2組限定」城下町金沢 川本シェフの 料理 生産者､ 作家に寄り添ったフレンチレストラン
17014648,OTM Restaurant＆Bar,3.17,17.0,0.5798715637548291,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17014648/,金沢旅の途中でホッと一息 美容に良いマイクログリーンのお料理をお楽しみください近江町市場1分
17010739,居酒屋 花組,3.44,174.0,0.7692344039354336,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17010739/,のどぐろ、金沢おでんと北陸の旬。個室充実
17013658,居酒屋はちなな,3.68,30.0,0.6785877839144503,20000.0,https://tabelog.com/ishikawa/A1701/A170101/17013658/,能登の漁師をはじめ石川県の食材生産者と連携し旬の素材が持つ美味しさを追求。希少銘柄酒もあり
17014359,おでん 煌星,3.08,19.0,0.5763427484247136,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17014359/,金沢おでんや地酒・金沢ハイボールが楽しめる おでん 煌星 （きらぼし） 金沢駅前店
17011674,シフクノオト金澤寿司dining,3.33,34.0,0.6449631909392157,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17011674/,見て食べて楽しめる華やかな「階段寿司」◎新鮮な魚介類を使った自慢の一品料理や多彩なコース！
17011698,片町居酒屋 魚ぎゅう,3.05,10.0,0.5314845673324582,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17011698/,【完全個室有】お料理・飲み放題メニューが充実！各種宴会にオススメです◎
17011864,個室×和食居酒屋 金沢商店 金沢片町店,3.0,8.0,0.5116357960405812,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17011864/,金沢おでん、市場直送鮮魚、肉寿司など、名物料理多数！飲み放題付コース3300円～！
17008378,すずや,3.53,123.0,0.7562593193429459,6000.0,https://tabelog.com/ishikawa/A1701/A170101/17008378/,金沢駅近くの能登牛認定店！コースの完全予約制名物焼きすき。元祖店
17012134,個室居酒屋 四季彩 金沢駅前店,3.08,22.0,0.5859880589709519,4000.0,https://tabelog.com/ishikawa/A1701/A170101/17012134/,【ご宴会予約受付中】個室多数完備│最大40名様OK│金沢おでんやのど黒も│インボイス対応
17000364,西洋膳所 鏑木,3.29,42.0,0.6543695403619396,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17000364/,～隠れ家で味わう老舗本格フレンチ～ステーキ・アワビなど贅沢なひと時を…土日限定ランチ再開！
17008112,タワラ,3.72,110.0,0.7714160991367236,10000.0,https://tabelog.com/ishikawa/A1701/A170101/17008112/,選りすぐりの地元食材を用いた懐石風のフレンチ
17013525,片町居酒屋まごころ 北陸の海鮮と金沢おでん,3.1,20.0,0.5821098759632886,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17013525/,まごころ名物お刺身桶盛り、片町スクランブル交差点から徒歩10秒！
17013249,和食郷土料理 いち凛 金沢本店,3.0,8.0,0.5116357960405812,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17013249/,【とれたて鮮魚を味わう】和食個室居酒屋‼喫煙可(個室のみに分煙にてOK)紙煙草OK）
17010891,座吟,3.27,36.0,0.6415982011164331,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17010891/,【金沢駅3分】感動の空間で味わう、北陸地酒と四季折々の逸品料理◆デートや特別な日に最適◎
17013085,金沢おでんと地酒・地魚 あなば 片町店,3.04,15.0,0.5561430708569913,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17013085/,金沢名物、日本海・北陸の魅力は海鮮にアリ！個室で安全に宴会♪
17014132,北陸海鮮 金沢おでん 海力,3.34,67.0,0.6919984584431664,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17014132/,大迫力の巨大水槽を店内に備えた海鮮居酒屋
17010651,鹿児島県霧島市 塚田農場 金沢駅西口店,3.03,34.0,0.6089631909392157,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17010651/,【金沢駅 徒歩2分】 地鶏の美味しさをご堪能ください！季節限定コースや飲み放題コースあり◎
17014075,barrier,3.21,29.0,0.6199248787307563,6000.0,https://tabelog.com/ishikawa/A1701/A170101/17014075/,洗練された空間でお出汁の世界観を楽しむ金沢の体験型レストラン◆女子会、接待、観光◆個室有
17007795,くすの樹,3.36,27.0,0.6331635133714935,10000.0,https://tabelog.com/ishikawa/A1701/A170101/17007795/,季節の素材を贅沢に盛り込んだ会席料理を、モダンな大人の隠れ家で堪能。接待、観光、記念日に◎
17014241,大衆酒場 酔いどれ 金沢駅前店,3.08,27.0,0.5995635133714936,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17014241/,“早い・旨い”大人が普段使いするネオ大衆酒場◎金沢駅徒歩3分にOPEN!!
17014856,博多かわ屋 金沢片町店,3.01,6.0,0.4954919779429979,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17014856/,【当日予約OK！】にぎやかな店内で、博多の名物料理とお酒をたっぷり堪能【1名様～大歓迎！】
17014737,NEW DELHI 金沢駅前店,3.13,21.0,0.588920335046706,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17014737/,【金沢駅西口出てすぐ！】東京で大人気のあのインド料理店が金沢にもオープン！
17013854,海鮮と炭火鶏のお店 うちわ,3.08,15.0,0.5609430708569914,2000.0,https://tabelog.com/ishikawa/A1701/A170101/17013854/,
17010186,炭火焼鶏 Ryo 片町店,3.08,17.0,0.569071563754829,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17010186/,炭火が香る食べ応えのある焼き鳥や居酒屋メニューが充実。ゆったり大人の雰囲気でお酒を堪能！
17000494,割烹 むら井,3.4,136.0,0.7475398139487786,8000.0,https://tabelog.com/ishikawa/A1701/A170101/17000494/,板長が厳選した海鮮や旬素材を活かした割烹を能登地酒と堪能◆純和風の空間で寛ぎのひとときを。
17000047,刺身屋,3.47,304.0,0.811172586650093,3000.0,https://tabelog.com/ishikawa/A1701/A170101/17000047/,和の趣がある空間で鮮魚が楽しめる海鮮丼や加賀料理、北陸の銘酒を堪能！観光の際のお食事にも◎
17014399,炭火焼肉 みさも,3.51,49.0,0.6911781937066835,5000.0,https://tabelog.com/ishikawa/A1701/A170101/17014399/,【生食肉取扱施設店】金澤冷麺と極上生タンの店
